Entity,Code,Year,Total patents
Lower-middle-income countries,,2009,492
Lower-middle-income countries,,2010,547
Lower-middle-income countries,,2011,560
Lower-middle-income countries,,2012,1054
Lower-middle-income countries,,2013,707
Lower-middle-income countries,,2014,1874
Lower-middle-income countries,,2015,1135
Lower-middle-income countries,,2016,496
Lower-middle-income countries,,2017,502
Lower-middle-income countries,,2018,462
Lower-middle-income countries,,2019,397
Lower-middle-income countries,,2020,144
Lower-middle-income countries,,2021,3
Luxembourg,LUX,2000,2
Luxembourg,LUX,2001,3
Luxembourg,LUX,2002,4
Luxembourg,LUX,2005,6
Luxembourg,LUX,2006,1
Luxembourg,LUX,2007,1
Luxembourg,LUX,2008,2
Luxembourg,LUX,2009,12
Luxembourg,LUX,2010,9
Luxembourg,LUX,2011,10
Luxembourg,LUX,2012,8
Luxembourg,LUX,2013,4
Luxembourg,LUX,2014,10
Luxembourg,LUX,2015,27
Luxembourg,LUX,2016,12
Luxembourg,LUX,2017,24
Luxembourg,LUX,2018,20
Luxembourg,LUX,2019,12
Luxembourg,LUX,2020,19
Malaysia,MYS,2000,44
Malaysia,MYS,2001,28
Malaysia,MYS,2002,27
Malaysia,MYS,2003,34
Malaysia,MYS,2004,78
Malaysia,MYS,2005,81
Malaysia,MYS,2006,101
Malaysia,MYS,2007,152
Malaysia,MYS,2008,190
Malaysia,MYS,2009,177
Malaysia,MYS,2010,273
Malaysia,MYS,2011,305
Malaysia,MYS,2012,261
Malaysia,MYS,2013,94
Malaysia,MYS,2014,113
Malaysia,MYS,2015,34
Mexico,MEX,2000,258
Mexico,MEX,2001,306
Mexico,MEX,2002,331
Mexico,MEX,2003,253
Mexico,MEX,2004,250
Mexico,MEX,2005,346
Mexico,MEX,2006,335
Mexico,MEX,2007,685
Mexico,MEX,2008,621
Mexico,MEX,2009,740
Mexico,MEX,2010,997
Mexico,MEX,2011,967
Mexico,MEX,2012,987
Mexico,MEX,2013,839
Mexico,MEX,2014,966
Mexico,MEX,2015,913
Mexico,MEX,2016,774
Mexico,MEX,2017,791
Mexico,MEX,2018,236
Mexico,MEX,2019,36
Moldova,MDA,2000,6
Moldova,MDA,2001,27
Moldova,MDA,2002,22
Moldova,MDA,2003,13
Moldova,MDA,2004,14
Moldova,MDA,2005,30
Moldova,MDA,2006,9
Moldova,MDA,2007,36
Moldova,MDA,2008,32
Moldova,MDA,2009,29
Moldova,MDA,2010,15
Moldova,MDA,2011,8
Moldova,MDA,2012,23
Moldova,MDA,2013,10
Moldova,MDA,2014,14
Moldova,MDA,2015,24
Moldova,MDA,2016,12
Moldova,MDA,2017,6
Moldova,MDA,2018,15
Moldova,MDA,2019,4
Moldova,MDA,2020,1
Monaco,MCO,2002,1
Monaco,MCO,2007,1
Monaco,MCO,2010,1
Monaco,MCO,2011,1
Monaco,MCO,2015,1
Montenegro,MNE,2003,1
Montenegro,MNE,2005,6
Montenegro,MNE,2007,8
Montenegro,MNE,2008,3
Montenegro,MNE,2009,3
Montenegro,MNE,2010,2
Montenegro,MNE,2011,13
Montenegro,MNE,2012,21
Montenegro,MNE,2013,6
Morocco,MAR,2000,6
Morocco,MAR,2001,9
Morocco,MAR,2002,16
Morocco,MAR,2003,25
Morocco,MAR,2004,26
Morocco,MAR,2005,20
Morocco,MAR,2006,22
Morocco,MAR,2007,39
Morocco,MAR,2008,64
Morocco,MAR,2009,68
Morocco,MAR,2010,112
Morocco,MAR,2011,190
Morocco,MAR,2012,189
Morocco,MAR,2013,195
Morocco,MAR,2014,150
Morocco,MAR,2015,161
Morocco,MAR,2016,75
Morocco,MAR,2017,43
Morocco,MAR,2018,56
Morocco,MAR,2019,28
Netherlands,NLD,2000,98
Netherlands,NLD,2001,94
Netherlands,NLD,2002,102
Netherlands,NLD,2003,66
Netherlands,NLD,2004,71
Netherlands,NLD,2005,99
Netherlands,NLD,2006,100
Netherlands,NLD,2007,75
Netherlands,NLD,2008,131
Netherlands,NLD,2009,201
Netherlands,NLD,2010,195
Netherlands,NLD,2011,224
Netherlands,NLD,2012,137
Netherlands,NLD,2013,168
Netherlands,NLD,2014,147
Netherlands,NLD,2015,126
Netherlands,NLD,2016,133
Netherlands,NLD,2017,195
Netherlands,NLD,2018,187
Netherlands,NLD,2019,154
Netherlands,NLD,2020,13
New Zealand,NZL,2000,68
New Zealand,NZL,2001,124
New Zealand,NZL,2002,167
New Zealand,NZL,2003,99
New Zealand,NZL,2004,149
New Zealand,NZL,2005,157
New Zealand,NZL,2006,198
New Zealand,NZL,2007,244
New Zealand,NZL,2008,202
New Zealand,NZL,2009,394
New Zealand,NZL,2010,388
New Zealand,NZL,2011,331
New Zealand,NZL,2012,387
New Zealand,NZL,2013,244
New Zealand,NZL,2014,213
New Zealand,NZL,2015,45
New Zealand,NZL,2016,43
New Zealand,NZL,2017,38
New Zealand,NZL,2018,9
New Zealand,NZL,2019,3
Nicaragua,NIC,2006,1
Nicaragua,NIC,2007,11
Nicaragua,NIC,2009,7
Nicaragua,NIC,2010,11
Nicaragua,NIC,2011,7
Nicaragua,NIC,2012,8
Nicaragua,NIC,2013,10
Nicaragua,NIC,2015,2
Nicaragua,NIC,2016,3
Nicaragua,NIC,2017,1
Nicaragua,NIC,2018,1
Nicaragua,NIC,2019,2
North America,,2000,6616
North America,,2001,8293
North America,,2002,9133
North America,,2003,10023
North America,,2004,11525
North America,,2005,13816
North America,,2006,15098
North America,,2007,18387
North America,,2008,20785
North America,,2009,24283
North America,,2010,30498
North America,,2011,34736
North America,,2012,35498
North America,,2013,34437
North America,,2014,34503
North America,,2015,33865
North America,,2016,33378
North America,,2017,34389
North America,,2018,32948
North America,,2019,29361
North America,,2020,15785
North America,,2021,1547
Norway,NOR,2000,133
Norway,NOR,2001,138
Norway,NOR,2002,131
Norway,NOR,2003,206
Norway,NOR,2004,170
Norway,NOR,2005,186
Norway,NOR,2006,209
Norway,NOR,2007,258
Norway,NOR,2008,232
Norway,NOR,2009,224
Norway,NOR,2010,112
Norway,NOR,2011,152
Norway,NOR,2012,116
Norway,NOR,2013,124
Norway,NOR,2014,176
Norway,NOR,2015,126
Norway,NOR,2016,90
Norway,NOR,2017,75
Norway,NOR,2018,80
Norway,NOR,2019,111
Norway,NOR,2020,37
Norway,NOR,2021,2
Oceania,,2000,1846
Oceania,,2001,2502
Oceania,,2002,1770
Oceania,,2003,3446
Oceania,,2004,1026
Oceania,,2005,1089
Oceania,,2006,1206
Oceania,,2007,1694
Oceania,,2008,1863
Oceania,,2009,2522
Oceania,,2010,3023
Oceania,,2011,2712
Oceania,,2012,2751
Oceania,,2013,2310
Oceania,,2014,2003
Oceania,,2015,1767
Oceania,,2016,1750
Oceania,,2017,1952
Oceania,,2018,2051
Oceania,,2019,1809
Oceania,,2020,722
Oceania,,2021,310
Panama,PAN,2000,2
Panama,PAN,2001,1
Panama,PAN,2002,1
Panama,PAN,2003,1
Panama,PAN,2004,3
Panama,PAN,2005,2
Panama,PAN,2006,1
Panama,PAN,2007,2
Panama,PAN,2008,3
Panama,PAN,2009,2
Peru,PER,2000,31
Peru,PER,2001,12
Peru,PER,2002,8
Peru,PER,2003,11
Peru,PER,2004,9
Peru,PER,2005,11
Peru,PER,2006,15
Peru,PER,2007,18
Peru,PER,2008,44
Peru,PER,2009,50
Peru,PER,2010,80
Peru,PER,2011,66
Peru,PER,2012,58
Peru,PER,2013,39
Peru,PER,2014,36
Peru,PER,2015,52
Peru,PER,2016,59
Peru,PER,2017,45
Peru,PER,2018,64
Peru,PER,2019,63
Peru,PER,2020,4
Philippines,PHL,2005,2
Philippines,PHL,2007,1
Philippines,PHL,2008,1
Philippines,PHL,2011,2
Philippines,PHL,2012,3
Philippines,PHL,2013,22
Philippines,PHL,2014,153
Philippines,PHL,2015,300
Philippines,PHL,2016,255
Philippines,PHL,2017,252
Philippines,PHL,2018,306
Philippines,PHL,2019,345
Philippines,PHL,2020,144
Philippines,PHL,2021,3
Poland,POL,2000,119
Poland,POL,2001,126
Poland,POL,2002,188
Poland,POL,2003,175
Poland,POL,2004,249
Poland,POL,2005,301
Poland,POL,2006,307
Poland,POL,2007,353
Poland,POL,2008,502
Poland,POL,2009,581
Poland,POL,2010,775
Poland,POL,2011,867
Poland,POL,2012,856
Poland,POL,2013,828
Poland,POL,2014,807
Poland,POL,2015,792
Poland,POL,2016,683
Poland,POL,2017,474
Poland,POL,2018,351
Poland,POL,2019,179
Poland,POL,2020,21
Portugal,PRT,2000,131
Portugal,PRT,2001,134
Portugal,PRT,2002,214
Portugal,PRT,2003,142
Portugal,PRT,2004,171
Portugal,PRT,2005,171
Portugal,PRT,2006,168
Portugal,PRT,2007,197
Portugal,PRT,2008,258
Portugal,PRT,2009,331
Portugal,PRT,2010,343
Portugal,PRT,2011,376
Portugal,PRT,2012,399
Portugal,PRT,2013,341
Portugal,PRT,2014,338
Portugal,PRT,2015,259
Portugal,PRT,2016,219
Portugal,PRT,2017,173
Portugal,PRT,2018,72
Portugal,PRT,2019,23
Romania,ROU,2000,18
Romania,ROU,2001,18
Romania,ROU,2002,18
Romania,ROU,2003,14
Romania,ROU,2004,20
Romania,ROU,2005,31
Romania,ROU,2006,25
Romania,ROU,2007,31
Romania,ROU,2008,82
Romania,ROU,2009,95
Romania,ROU,2010,92
Romania,ROU,2011,145
Romania,ROU,2012,69
Romania,ROU,2013,91
Romania,ROU,2014,77
Romania,ROU,2015,83
Romania,ROU,2016,66
Romania,ROU,2017,61
Romania,ROU,2018,53
Romania,ROU,2019,54
Romania,ROU,2020,9
Russia,RUS,2000,402
Russia,RUS,2001,439
Russia,RUS,2002,458
Russia,RUS,2003,567
Russia,RUS,2004,568
Russia,RUS,2005,735
Russia,RUS,2006,945
Russia,RUS,2007,1192
Russia,RUS,2008,1294
Russia,RUS,2009,1462
Russia,RUS,2010,1669
Russia,RUS,2011,1778
Russia,RUS,2012,1851
Russia,RUS,2013,1622
Russia,RUS,2014,1624
Russia,RUS,2015,1501
Russia,RUS,2016,1315
Russia,RUS,2017,1317
Russia,RUS,2018,1058
Russia,RUS,2019,964
Russia,RUS,2020,327
Russia,RUS,2021,12
San Marino,SMR,2006,1
San Marino,SMR,2007,2
San Marino,SMR,2008,5
San Marino,SMR,2009,10
San Marino,SMR,2010,2
San Marino,SMR,2011,14
San Marino,SMR,2013,5
San Marino,SMR,2014,2
San Marino,SMR,2015,10
San Marino,SMR,2016,18
San Marino,SMR,2017,1
Saudi Arabia,SAU,2000,8
Saudi Arabia,SAU,2001,2
Saudi Arabia,SAU,2002,2
Saudi Arabia,SAU,2004,3
Saudi Arabia,SAU,2005,12
Saudi Arabia,SAU,2006,2
Saudi Arabia,SAU,2007,2
Saudi Arabia,SAU,2008,9
Saudi Arabia,SAU,2009,4
Saudi Arabia,SAU,2010,9
Saudi Arabia,SAU,2011,13
Saudi Arabia,SAU,2012,3
Serbia,SRB,2004,1
Serbia,SRB,2005,8
Serbia,SRB,2006,11
Serbia,SRB,2007,23
Serbia,SRB,2008,24
Serbia,SRB,2009,18
Serbia,SRB,2010,40
Serbia,SRB,2011,85
Serbia,SRB,2012,90
Serbia,SRB,2013,60
Serbia,SRB,2014,42
Serbia,SRB,2015,47
Serbia,SRB,2016,38
Serbia,SRB,2017,34
Serbia,SRB,2018,16
Serbia,SRB,2019,3
Serbia,SRB,2020,4
Singapore,SGP,2000,52
Singapore,SGP,2001,35
Singapore,SGP,2002,43
Singapore,SGP,2003,71
Singapore,SGP,2004,74
Singapore,SGP,2005,67
Singapore,SGP,2006,92
Singapore,SGP,2007,127
Singapore,SGP,2008,93
Singapore,SGP,2009,216
Singapore,SGP,2010,492
Singapore,SGP,2011,558
Singapore,SGP,2012,590
Singapore,SGP,2013,646
Singapore,SGP,2014,701
Singapore,SGP,2015,619
Singapore,SGP,2016,375
Singapore,SGP,2017,382
Singapore,SGP,2018,361
Singapore,SGP,2019,319
Singapore,SGP,2020,24
Slovakia,SVK,2000,21
Slovakia,SVK,2001,27
Slovakia,SVK,2002,20
Slovakia,SVK,2003,4
Slovakia,SVK,2004,10
Slovakia,SVK,2005,5
Slovakia,SVK,2006,11
Slovakia,SVK,2007,16
Slovakia,SVK,2008,15
Slovakia,SVK,2009,32
Slovakia,SVK,2010,21
Slovakia,SVK,2011,30
Slovakia,SVK,2012,21
Slovakia,SVK,2013,42
Slovakia,SVK,2014,28
Slovakia,SVK,2015,36
Slovakia,SVK,2016,24
Slovakia,SVK,2017,19
Slovakia,SVK,2018,45
Slovakia,SVK,2019,41
Slovakia,SVK,2020,40
Slovenia,SVN,2000,13
Slovenia,SVN,2001,12
Slovenia,SVN,2002,19
Slovenia,SVN,2003,77
Slovenia,SVN,2004,78
Slovenia,SVN,2005,60
Slovenia,SVN,2006,63
Slovenia,SVN,2007,89
Slovenia,SVN,2008,96
Slovenia,SVN,2009,118
Slovenia,SVN,2010,127
Slovenia,SVN,2011,120
Slovenia,SVN,2012,162
Slovenia,SVN,2013,103
Slovenia,SVN,2014,88
Slovenia,SVN,2015,67
Slovenia,SVN,2016,53
Slovenia,SVN,2017,31
Slovenia,SVN,2018,12
Slovenia,SVN,2019,16
South Africa,ZAF,2000,54
South Africa,ZAF,2001,115
South Africa,ZAF,2002,119
South Africa,ZAF,2003,124
South Africa,ZAF,2004,168
South Africa,ZAF,2005,195
South Africa,ZAF,2006,168
South Africa,ZAF,2007,226
South Africa,ZAF,2008,241
South Africa,ZAF,2009,261
South Africa,ZAF,2010,478
South Africa,ZAF,2011,665
South Africa,ZAF,2012,670
South Africa,ZAF,2013,604
South Africa,ZAF,2014,594
South Africa,ZAF,2015,419
South Africa,ZAF,2016,303
South Africa,ZAF,2017,255
South Africa,ZAF,2018,295
South Africa,ZAF,2019,223
South Africa,ZAF,2020,43
South Africa,ZAF,2021,1
South America,,2000,514
South America,,2001,549
South America,,2002,564
South America,,2003,570
South America,,2004,657
South America,,2005,767
South America,,2006,1035
South America,,2007,1507
South America,,2008,1692
South America,,2009,2232
South America,,2010,2821
South America,,2011,2922
South America,,2012,2950
South America,,2013,2486
South America,,2014,1945
South America,,2015,1876
South America,,2016,1937
South America,,2017,1784
South America,,2018,1643
South America,,2019,1264
South America,,2020,326
South America,,2021,35
South Korea,KOR,2000,2068
South Korea,KOR,2001,2243
South Korea,KOR,2002,2764
South Korea,KOR,2003,3363
South Korea,KOR,2004,4037
South Korea,KOR,2005,5153
South Korea,KOR,2006,6484
South Korea,KOR,2007,7314
South Korea,KOR,2008,9556
South Korea,KOR,2009,11934
South Korea,KOR,2010,14414
South Korea,KOR,2011,16335
South Korea,KOR,2012,16440
South Korea,KOR,2013,15620
South Korea,KOR,2014,16071
South Korea,KOR,2015,14325
South Korea,KOR,2016,16045
South Korea,KOR,2017,15389
South Korea,KOR,2018,16287
South Korea,KOR,2019,14274
South Korea,KOR,2020,3190
South Korea,KOR,2021,432
Spain,ESP,2000,550
Spain,ESP,2001,521
Spain,ESP,2002,667
Spain,ESP,2003,660
Spain,ESP,2004,825
Spain,ESP,2005,867
Spain,ESP,2006,1021
Spain,ESP,2007,1352
Spain,ESP,2008,1615
Spain,ESP,2009,1854
Spain,ESP,2010,2067
Spain,ESP,2011,2129
Spain,ESP,2012,2239
Spain,ESP,2013,1850
Spain,ESP,2014,1840
Spain,ESP,2015,1396
Spain,ESP,2016,1195
Spain,ESP,2017,845
Spain,ESP,2018,460
Spain,ESP,2019,242
Spain,ESP,2020,146
Spain,ESP,2021,23
Sweden,SWE,2000,65
Sweden,SWE,2001,68
Sweden,SWE,2002,74
Sweden,SWE,2003,51
Sweden,SWE,2004,50
Sweden,SWE,2005,52
Sweden,SWE,2006,70
Sweden,SWE,2007,97
Sweden,SWE,2008,119
Sweden,SWE,2009,151
Sweden,SWE,2010,130
Sweden,SWE,2011,96
Sweden,SWE,2012,104
Sweden,SWE,2013,88
Sweden,SWE,2014,100
Sweden,SWE,2015,149
Sweden,SWE,2016,134
Sweden,SWE,2017,145
Sweden,SWE,2018,152
Sweden,SWE,2019,92
Sweden,SWE,2020,29
Switzerland,CHE,2000,26
Switzerland,CHE,2001,21
Switzerland,CHE,2002,11
Switzerland,CHE,2003,25
Switzerland,CHE,2004,13
Switzerland,CHE,2005,19
Switzerland,CHE,2006,38
Switzerland,CHE,2007,28
Switzerland,CHE,2008,94
Switzerland,CHE,2009,131
Switzerland,CHE,2010,149
Switzerland,CHE,2011,151
Switzerland,CHE,2012,136
Switzerland,CHE,2013,123
Switzerland,CHE,2014,126
Switzerland,CHE,2015,102
Switzerland,CHE,2016,86
Switzerland,CHE,2017,90
Switzerland,CHE,2018,100
Switzerland,CHE,2019,75
Switzerland,CHE,2020,26
Taiwan,TWN,2000,628
Taiwan,TWN,2001,781
Taiwan,TWN,2002,751
Taiwan,TWN,2003,868
Taiwan,TWN,2004,1116
Taiwan,TWN,2005,1232
Taiwan,TWN,2006,1642
Taiwan,TWN,2007,2026
Taiwan,TWN,2008,2397
Taiwan,TWN,2009,2793
Taiwan,TWN,2010,3389
Taiwan,TWN,2011,4090
Taiwan,TWN,2012,4096
Taiwan,TWN,2013,3262
Taiwan,TWN,2014,3115
Taiwan,TWN,2015,2809
Taiwan,TWN,2016,2526
Taiwan,TWN,2017,2571
Taiwan,TWN,2018,2783
Taiwan,TWN,2019,1944
Taiwan,TWN,2020,767
Tajikistan,TJK,2001,2
Tajikistan,TJK,2002,2
Tajikistan,TJK,2005,1
Tunisia,TUN,2000,5
Tunisia,TUN,2001,2
Tunisia,TUN,2002,1
Tunisia,TUN,2003,2
Tunisia,TUN,2004,4
Tunisia,TUN,2005,9
Tunisia,TUN,2006,6
Tunisia,TUN,2007,20
Tunisia,TUN,2008,54
Tunisia,TUN,2009,65
Tunisia,TUN,2010,46
Tunisia,TUN,2011,78
Tunisia,TUN,2012,79
Tunisia,TUN,2013,65
Tunisia,TUN,2014,62
Tunisia,TUN,2015,57
Tunisia,TUN,2016,21
Tunisia,TUN,2017,25
Tunisia,TUN,2018,10
Tunisia,TUN,2019,1
Turkey,TUR,2000,58
Turkey,TUR,2001,25
Turkey,TUR,2002,14
Turkey,TUR,2003,15
Turkey,TUR,2004,29
Turkey,TUR,2005,27
Turkey,TUR,2006,23
Turkey,TUR,2007,65
Turkey,TUR,2008,68
Turkey,TUR,2009,92
Turkey,TUR,2010,92
Turkey,TUR,2011,102
Turkey,TUR,2012,75
Turkey,TUR,2013,62
Turkey,TUR,2014,96
Turkey,TUR,2015,101
Turkey,TUR,2016,108
Turkey,TUR,2017,132
Turkey,TUR,2018,48
Turkey,TUR,2019,59
Turkey,TUR,2020,42
Turkey,TUR,2021,1
Ukraine,UKR,2000,26
Ukraine,UKR,2001,40
Ukraine,UKR,2002,42
Ukraine,UKR,2003,147
Ukraine,UKR,2004,80
Ukraine,UKR,2005,148
Ukraine,UKR,2006,154
Ukraine,UKR,2007,216
Ukraine,UKR,2008,166
Ukraine,UKR,2009,280
Ukraine,UKR,2010,312
Ukraine,UKR,2011,208
Ukraine,UKR,2012,237
Ukraine,UKR,2013,229
Ukraine,UKR,2014,250
Ukraine,UKR,2015,184
Ukraine,UKR,2016,141
Ukraine,UKR,2017,175
Ukraine,UKR,2018,88
Ukraine,UKR,2019,21
United Kingdom,GBR,2000,313
United Kingdom,GBR,2001,378
United Kingdom,GBR,2002,452
United Kingdom,GBR,2003,466
United Kingdom,GBR,2004,523
United Kingdom,GBR,2005,643
United Kingdom,GBR,2006,777
United Kingdom,GBR,2007,1012
United Kingdom,GBR,2008,1316
United Kingdom,GBR,2009,1344
United Kingdom,GBR,2010,1442
United Kingdom,GBR,2011,1353
United Kingdom,GBR,2012,1479
United Kingdom,GBR,2013,1387
United Kingdom,GBR,2014,1338
United Kingdom,GBR,2015,1349
United Kingdom,GBR,2016,1134
United Kingdom,GBR,2017,1210
United Kingdom,GBR,2018,1311
United Kingdom,GBR,2019,1068
United Kingdom,GBR,2020,343
United Kingdom,GBR,2021,7
United States,USA,2000,4954
United States,USA,2001,6539
United States,USA,2002,7191
United States,USA,2003,8132
United States,USA,2004,9551
United States,USA,2005,11646
United States,USA,2006,12708
United States,USA,2007,15096
United States,USA,2008,17462
United States,USA,2009,20416
United States,USA,2010,26031
United States,USA,2011,30320
United States,USA,2012,31009
United States,USA,2013,30349
United States,USA,2014,30369
United States,USA,2015,29975
United States,USA,2016,29977
United States,USA,2017,31003
United States,USA,2018,30361
United States,USA,2019,27348
United States,USA,2020,15421
United States,USA,2021,1546
Upper-middle-income countries,,2000,3525
Upper-middle-income countries,,2001,4227
Upper-middle-income countries,,2002,5107
Upper-middle-income countries,,2003,6135
Upper-middle-income countries,,2004,7611
Upper-middle-income countries,,2005,10047
Upper-middle-income countries,,2006,14878
Upper-middle-income countries,,2007,19094
Upper-middle-income countries,,2008,24157
Upper-middle-income countries,,2009,31535
Upper-middle-income countries,,2010,41659
Upper-middle-income countries,,2011,51012
Upper-middle-income countries,,2012,55698
Upper-middle-income countries,,2013,53559
Upper-middle-income countries,,2014,58202
Upper-middle-income countries,,2015,70123
Upper-middle-income countries,,2016,95422
Upper-middle-income countries,,2017,121326
Upper-middle-income countries,,2018,135983
Upper-middle-income countries,,2019,143670
Upper-middle-income countries,,2020,129533
Upper-middle-income countries,,2021,6427
Uruguay,URY,2000,1
Uruguay,URY,2001,2
Uruguay,URY,2002,2
Uruguay,URY,2003,1
Uruguay,URY,2004,3
Uruguay,URY,2005,8
Uruguay,URY,2006,7
Uruguay,URY,2007,12
Uruguay,URY,2008,14
Uruguay,URY,2009,9
Uruguay,URY,2010,17
Uruguay,URY,2011,27
Uruguay,URY,2012,32
Uruguay,URY,2013,10
Uruguay,URY,2014,9
Uruguay,URY,2015,42
Uruguay,URY,2016,32
Uruguay,URY,2017,7
Uruguay,URY,2018,5
Uruguay,URY,2019,18
Uruguay,URY,2020,9
Vietnam,VNM,2010,2
World,OWID_WRL,2000,35008
World,OWID_WRL,2001,38687
World,OWID_WRL,2002,41464
World,OWID_WRL,2003,46215
World,OWID_WRL,2004,48844
World,OWID_WRL,2005,55898
World,OWID_WRL,2006,66649
World,OWID_WRL,2007,78283
World,OWID_WRL,2008,92091
World,OWID_WRL,2009,110670
World,OWID_WRL,2010,136089
World,OWID_WRL,2011,157777
World,OWID_WRL,2012,165042
World,OWID_WRL,2013,153211
World,OWID_WRL,2014,156317
World,OWID_WRL,2015,161646
World,OWID_WRL,2016,186535
World,OWID_WRL,2017,212657
World,OWID_WRL,2018,229388
World,OWID_WRL,2019,222263
World,OWID_WRL,2020,156520
World,OWID_WRL,2021,9383